runnr	MC energy	MC zenith	MC azimuth	MC Xmax	MC core x	MC core y	MC core z	Sd rec success	Sd energy	SD zenith	SD azimuth	SD core x	SD core y	SD core z	Rd rec success	Stations with Pulse	Rd zenith	Rd azimuth	Rd core x	Rd core y	Rd core z	rad energy	rad energy error	lorentz angle	2dLDF sigma	2dLDF sigma error	2dLDF Chi2	2dLDf NDF	Rd energy	SE_RdLDF1	SE_RdLDF2	EE_RdLDF1	EE_RdLDF1error	EE_RdLDF2	EE_RdLDF2error	EE_RdLDF3	EE_RdLDF3error	OnedLDFChi2	EE_RdLDFNDF	pvalue1dLDF	GeoCe DXmax	GeoCeXmax	GeoCe DXmax Error	GeoCe Erad	GeoCe Erad Error	GeoCe LDFChi2	GeoCe LDF ndf	pvalue GeoCe	Md rec success	N_mu_ref	N_mu_ref error	MLDF Chi2	MLDF NDF	MLDF Likelihood	M beta	M beta error	M beta syst
102853	6.33076e+17	45.4855	187.453	631.437	450788	6.11442e+06	1461.7	1	4.51084e+17	45.8355	187.992	450792	6.11445e+06	1399.97	1	17	46.4312	187.653	-26430.1	15303.1	-11.4065	3.76844e+06	281733	72.1862	177.604	2.62933	38.0787	13	5.10993e+17	0.00012885	0.0124354	0.000157413	2.70165e-06	1.61693e-05	0	-0.0102821	0.000107413	873.402	15	1.73234e-176	569.006	650.349	4.6365	3.33937e+06	173094	16.2576	13	0.235499	1	0.684144	0.0779021	25.79	21	14.7099	1.17685	0.231708	0
102854	2.00942e+17	19.1698	279.258	727.822	451088	6.11439e+06	1462.33	1	1.60094e+17	18.5439	280.818	451074	6.11443e+06	1399.99	1	8	20.1519	277.805	-26144.4	15265.1	-9.50939	47373.3	6203.85	73.7992	119.905	1.53767	17.3838	4	5.56715e+16	1.56132e-05	0.0200831	1.61914e-05	2.81464e-07	2.45724e-05	0	-0.0174983	0.00018855	512.474	6	1.72727e-107	179.368	725.695	3.27068	392304	51665.2	50.2053	4	3.27151e-10	1	0.141746	0.0206785	23.4788	13	8.13401	1.74524	0	0
102856	1.65715e+18	58.1373	312.592	675.906	449648	6.11457e+06	1470.93	1	1.18406e+18	57.7648	312.932	449634	6.1146e+06	1399.94	1	20	58.0707	312.53	-27586.3	15449.1	-7.41893	3.52427e+07	3.40154e+06	79.891	237.071	6.14313	6.38033	16	1.5222e+18	0.000771442	0.0042986	0.000752219	3.32084e-05	1.07699e-05	0	-0.00175507	0.000258434	53.1822	18	2.45865e-05	958.032	661.405	20.7285	3.47099e+07	2.00185e+06	5.51743	16	0.992521	1	1.6692	0.112672	54.9172	36	29.3795	0.697599	0.110818	0
102858	3.99573e+17	49.7177	275.183	750.706	450941	6.11441e+06	1461.51	1	3.84926e+17	47.8409	276.605	450944	6.11447e+06	1399.97	1	24	50.1099	274.245	-26286.2	15302.9	-11.0024	1.56664e+06	107928	76.2213	174.436	2.50863	24.0818	20	3.19685e+17	0.000151083	0.011631	0.00017227	2.3955e-06	1.45562e-05	0	-0.00940348	9.8797e-05	964.577	22	6.71606e-190	572.569	749.636	4.59624	1.45678e+06	48296	37.4727	20	0.0102641	1	0.497357	0.0404957	56.6169	17	21.7731	1.31011	0	0
102859	2.24555e+17	27.8942	242.466	777.98	450647	6.11454e+06	1466.72	1	2.06068e+17	27.1933	243.06	450675	6.11466e+06	1399.98	1	3	28.7099	241.337	-26533.4	15425.1	94.7827	249691	79330.2	80.2547	116.059	1.82411	0.0366651	1	1.25067e+17	2.96585e-05	0.0231622	3.74076e-05	2.54853e-06	2.24942e-05	0	-0.0212126	0.0004611	9.01217	1	0.00268188	200.075	767.185	6.28097	311417	59430.4	3.16151	1	0.0753934	1	0.363693	0.0623204	10.1152	12	7.44617	0.402698	0.568266	0
102860	1.04177e+17	12.0034	317.623	665.145	451156	6.11446e+06	1461.76	1	9.51843e+16	11.6724	319.935	451168	6.11452e+06	1399.99	1	7	12.0164	315.828	-26078.4	15331.1	-9.96827	37902.3	3597.31	62.3689	112.291	1.09715	63.6228	3	5.37926e+16	6.34964e-06	0.00867786	6.49809e-06	8.70942e-08	2.58959e-05	0	-0.0077794	0.000416888	1885.18	5	0	233.082	640.905	4.75645	48129.4	4902.32	7.54444	3	0.0564275	1	0.146531	0.0226053	20.0217	9	8.502	1.77888	0	0
102861	1.44644e+17	15.629	264.182	656.332	450786	6.11446e+06	1465.95	1	1.22034e+17	16.279	265.352	450797	6.11449e+06	1399.99	1	4	15.8275	259.973	-26400.9	15292.9	93.6639	23188.6	4839.01	69.6025	131.515	2.12172	15.7738	2	3.95785e+16	2.79428e-05	0.0176465	3.92051e-05	1.74665e-06	2.53571e-05	0	-0.0151868	0.000277001	140.497	2	3.10052e-31	214.095	673.604	5.42938	158284	21612.2	12.4293	2	0.00199992	1	0.168436	0.0293053	15.86	11	6.48905	1.75823	0	0
102862	2.62113e+18	53.633	164.752	746.272	449872	6.11508e+06	1475.63	1	1.48201e+18	53.7032	164.563	449911	6.11506e+06	1399.93	1	9	54.0402	164.529	-27376.5	15953.2	-3.06114	6.72023e+07	1.19865e+07	60.2629	185.11	9.14423	4.10452	5	2.39394e+18	0.000668238	0.00661932	0.000661036	4.32053e-05	1.27346e-05	0	-0.00498979	0.000746848	145.205	7	4.11982e-28	705.894	735.829	38.9252	6.90897e+07	8.83046e+06	3.0909	5	0.685974	1	2.21601	0.128925	46.5301	38	27.7447	0.877972	0.117764	0
102864	1.7831e+17	29.7656	240.604	647.006	450815	6.1145e+06	1465.99	1	1.59181e+17	29.3014	240.114	450850	6.1146e+06	1399.99	1	8	30.5459	239.205	-26398.1	15403.9	-7.22748	365050	93182.7	81.5546	157.756	3.77544	38.3234	4	1.50871e+17	4.38481e-05	0.01756	4.29587e-05	1.33922e-06	2.19608e-05	0	-0.0130481	0.000199777	194.296	6	3.10361e-39	240.815	743.994	5.1287	280133	31887.1	31.6602	4	2.24472e-06	1	0.201614	0.0252445	15.1521	11	8.03571	1.65329	0	0
102865	1.63809e+18	53.9123	229.911	752.436	451183	6.11435e+06	1458.17	1	1.12754e+18	53.8049	230.096	451265	6.11443e+06	1399.93	1	39	54.5942	229.92	-26052.4	15220.7	-13.187	2.89146e+07	852983	79.7239	192.312	1.20385	43.8835	35	1.37552e+18	0.000649605	0.00936359	0.000705807	6.18857e-06	1.24701e-05	0	-0.00576682	6.89352e-05	2188.41	37	0	717.286	734.061	6.27312	2.90081e+07	640878	42.0121	35	0.193129	1	1.456	0.105377	44.0331	36	27.3188	0.887185	0.237262	0
102868	3.96805e+17	46.3559	268.236	746.615	451235	6.11415e+06	1457.13	1	2.90526e+17	44.8781	269.15	451255	6.11417e+06	1399.97	1	20	47.3044	267.555	-26003.6	15034.1	-13.5842	1.0156e+06	110499	78.7994	172.254	1.28148	43.3759	16	2.53957e+17	9.6373e-05	0.012962	7.14402e-05	2.69743e-06	1.57948e-05	0	-0.00813186	0.000209983	522.826	18	1.64566e-99	588.006	650.629	2.62249	739707	57208.2	65.7471	16	5.47708e-08	1	0.438634	0.0631135	12.5684	17	8.62129	0.622066	0.350044	0
102870	4.60548e+17	47.7842	302.43	721.429	450402	6.11521e+06	1469.02	1	3.11095e+17	47.909	302.502	450383	6.11528e+06	1399.96	1	5	46.6511	302.522	-26846.6	16107.8	-7.81138	2.51771e+06	1.20893e+06	85.4911	166.858	14.2349	0.00688037	1	3.97075e+17	0.000199208	0.013309	0.000212108	1.30102e-05	1.60755e-05	0	-0.00831034	0.000207471	18.8535	3	0.000293152	562.339	709.941	13.999	1.85548e+06	250152	0.742003	1	0.38902	1	0.628444	0.0860519	22.3781	15	13.7943	1.58057	0.324867	0
